source_id,stratum,N_h,n_h,inclusion_probability,population_weight,inclusion_probability_exact,population_weight_exact,wording,requested_relation,episode_index,replan_index,sampling_seed,source_chunk_dir,status,alignment_status,media_status,human_label_status
cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/episode_004/chunk_003,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,left,4,3,6104003,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_004/chunk_003,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/episode_004/chunk_014,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,left,4,14,6104014,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_004/chunk_014,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/episode_006/chunk_000,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,left,6,0,6106000,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_006/chunk_000,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/episode_006/chunk_005,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,left,6,5,6106005,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_006/chunk_005,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/episode_006/chunk_008,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,left,6,8,6106008,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_006/chunk_008,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/episode_006/chunk_012,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,left,6,12,6106012,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_006/chunk_012,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/episode_008/chunk_004,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,left,8,4,6108004,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_008/chunk_004,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/episode_009/chunk_000,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,left,9,0,6109000,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_009/chunk_000,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/episode_000/chunk_008,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,right,0,8,6100008,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_000/chunk_008,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/episode_001/chunk_000,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,right,1,0,6101000,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_001/chunk_000,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/episode_005/chunk_003,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,right,5,3,6105003,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_005/chunk_003,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/episode_005/chunk_008,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,right,5,8,6105008,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_005/chunk_008,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/episode_005/chunk_013,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,right,5,13,6105013,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_005/chunk_013,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/episode_008/chunk_000,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,right,8,0,6108000,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_008/chunk_000,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/episode_008/chunk_002,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,right,8,2,6108002,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_008/chunk_002,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/episode_009/chunk_003,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,canonical,right,9,3,6109003,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_009/chunk_003,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/episode_000/chunk_008,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,left,0,8,7200008,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_008,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/episode_000/chunk_010,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,left,0,10,7200010,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_010,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/episode_002/chunk_001,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,left,2,1,7202001,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_002/chunk_001,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/episode_002/chunk_004,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,left,2,4,7202004,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_002/chunk_004,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/episode_002/chunk_005,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,left,2,5,7202005,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_002/chunk_005,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/episode_002/chunk_009,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,left,2,9,7202009,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_002/chunk_009,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/episode_003/chunk_003,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,left,3,3,7203003,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_003/chunk_003,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/episode_003/chunk_011,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,left,3,11,7203011,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_003/chunk_011,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/episode_005/chunk_010,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,left,5,10,7205010,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_005/chunk_010,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/episode_007/chunk_012,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,left,7,12,7207012,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_007/chunk_012,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/episode_008/chunk_000,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,left,8,0,7208000,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_008/chunk_000,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/episode_008/chunk_005,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,left,8,5,7208005,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_008/chunk_005,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/episode_008/chunk_006,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,left,8,6,7208006,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_008/chunk_006,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/episode_000/chunk_001,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,right,0,1,7200001,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_000/chunk_001,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/episode_007/chunk_000,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,right,7,0,7207000,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_007/chunk_000,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/episode_007/chunk_001,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,right,7,1,7207001,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_007/chunk_001,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/episode_008/chunk_000,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,right,8,0,7208000,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_008/chunk_000,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/episode_008/chunk_005,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,contrastive,right,8,5,7208005,/home/ali/projects/RoboLab/output/v1_cosmos_contrastive/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_008/chunk_005,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask/episode_002/chunk_000,both_negative,391,50,0.1278772378516624,7.82,50/391,391/50,declarative,left,2,0,7202000,/home/ali/projects/RoboLab/output/v1_cosmos_declarative/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_002/chunk_000,PROVISIONAL PRE-ANNOTATION DESIGN,pending_recovery_and_verification,pending_recovery_and_verification,not_collected
