lerobot_episode_index,steering_trajectory_id,source_collection,task_instruction,episode_length,segments,video_url,audit_seed,secondary_review_required,primary_reviewer,primary_task_identity_believable,primary_direct_step_i_alignment_believable,primary_boundary_alignment_believable,primary_review_notes,secondary_reviewer,secondary_task_identity_believable,secondary_direct_step_i_alignment_believable,secondary_boundary_alignment_believable,secondary_review_notes,adjudicated_task_identity_believable,adjudicated_direct_step_i_alignment_believable,adjudicated_boundary_alignment_believable,adjudicator,adjudication_notes
705,656,flap,put apple on plate and crossaint in pot or pan on stove,76,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 14, ""subtask"": ""Reach and Grasp Apple""}, {""segment_index"": 1, ""start_frame"": 15, ""end_frame"": 25, ""subtask"": ""Lift Apple""}, {""segment_index"": 2, ""start_frame"": 26, ""end_frame"": 41, ""subtask"": ""Move Apple to Plate""}, {""segment_index"": 3, ""start_frame"": 42, ""end_frame"": 55, ""subtask"": ""Place Apple on Plate""}, {""segment_index"": 4, ""start_frame"": 56, ""end_frame"": 64, ""subtask"": ""Release Apple""}, {""segment_index"": 5, ""start_frame"": 65, ""end_frame"": 75, ""subtask"": ""Reach and Grasp Croissant""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-000/observation.images.image_0/episode_000705.mp4,20260753,False,,,,,,,,,,,,,,,
16696,16840,icra,take the yellow bottle and put in beside the right side of the burner,56,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 10, ""subtask"": ""Reaching for the Yellow Bottle""}, {""segment_index"": 1, ""start_frame"": 11, ""end_frame"": 20, ""subtask"": ""Grasping the Yellow Bottle""}, {""segment_index"": 2, ""start_frame"": 21, ""end_frame"": 29, ""subtask"": ""Moving Yellow Bottle Towards Burner""}, {""segment_index"": 3, ""start_frame"": 30, ""end_frame"": 38, ""subtask"": ""Positioning Yellow Bottle Beside Burner""}, {""segment_index"": 4, ""start_frame"": 39, ""end_frame"": 48, ""subtask"": ""Releasing the Yellow Bottle""}, {""segment_index"": 5, ""start_frame"": 49, ""end_frame"": 55, ""subtask"": ""Moving away from the Yellow Bottle""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-016/observation.images.image_0/episode_016696.mp4,20260753,True,,,,,,,,,,,,,,,
44782,44769,icra,move the cloth in the middle,49,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 1, ""subtask"": ""Move near cloth""}, {""segment_index"": 1, ""start_frame"": 2, ""end_frame"": 10, ""subtask"": ""Grasp the cloth""}, {""segment_index"": 2, ""start_frame"": 11, ""end_frame"": 36, ""subtask"": ""Slide the cloth to the right""}, {""segment_index"": 3, ""start_frame"": 37, ""end_frame"": 42, ""subtask"": ""Release the cloth""}, {""segment_index"": 4, ""start_frame"": 43, ""end_frame"": 48, ""subtask"": ""Position arm to grasp the cloth""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-044/observation.images.image_0/episode_044782.mp4,20260753,False,,,,,,,,,,,,,,,
49936,50079,icra,moved a white part and placed it on the cooking gas,41,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 10, ""subtask"": ""Move to white part""}, {""segment_index"": 1, ""start_frame"": 11, ""end_frame"": 16, ""subtask"": ""Grasp the white part""}, {""segment_index"": 2, ""start_frame"": 17, ""end_frame"": 22, ""subtask"": ""Lift white part""}, {""segment_index"": 3, ""start_frame"": 23, ""end_frame"": 30, ""subtask"": ""Move white part above cooking gas""}, {""segment_index"": 4, ""start_frame"": 31, ""end_frame"": 37, ""subtask"": ""Place the white part on the cooking gas""}, {""segment_index"": 5, ""start_frame"": 38, ""end_frame"": 40, ""subtask"": ""Move away from cooking gas""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-049/observation.images.image_0/episode_049936.mp4,20260753,False,,,,,,,,,,,,,,,
47977,47677,icra,move the silver pot in the middle of two burners,46,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 14, ""subtask"": ""Reach for the silver pot""}, {""segment_index"": 1, ""start_frame"": 15, ""end_frame"": 26, ""subtask"": ""Grasp the silver pot""}, {""segment_index"": 2, ""start_frame"": 27, ""end_frame"": 33, ""subtask"": ""Lift and move the silver pot""}, {""segment_index"": 3, ""start_frame"": 34, ""end_frame"": 45, ""subtask"": ""Place the silver pot between the burners""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-047/observation.images.image_0/episode_047977.mp4,20260753,False,,,,,,,,,,,,,,,
49498,49690,icra,Move the plastic knife into the silver pot,56,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 17, ""subtask"": ""Reach for the plastic knife""}, {""segment_index"": 1, ""start_frame"": 18, ""end_frame"": 26, ""subtask"": ""Grasp the plastic knife""}, {""segment_index"": 2, ""start_frame"": 27, ""end_frame"": 31, ""subtask"": ""Lift the plastic knife""}, {""segment_index"": 3, ""start_frame"": 32, ""end_frame"": 44, ""subtask"": ""Move the plastic knife above the silver pot""}, {""segment_index"": 4, ""start_frame"": 45, ""end_frame"": 55, ""subtask"": ""Release the plastic knife into the silver pot""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-049/observation.images.image_0/episode_049498.mp4,20260753,False,,,,,,,,,,,,,,,
8402,8582,icra,moves the blue towel to the left of the orange basin,37,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 10, ""subtask"": ""Reach for and Grasp the Blue Towel""}, {""segment_index"": 1, ""start_frame"": 11, ""end_frame"": 26, ""subtask"": ""Move the Blue Towel to the Left of the Orange Basin""}, {""segment_index"": 2, ""start_frame"": 27, ""end_frame"": 31, ""subtask"": ""Release the Blue Towel""}, {""segment_index"": 3, ""start_frame"": 32, ""end_frame"": 36, ""subtask"": ""Reposition Arm""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-008/observation.images.image_0/episode_008402.mp4,20260753,False,,,,,,,,,,,,,,,
26886,26718,icra,put the yellow knife inside the orange pot.,38,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 9, ""subtask"": ""reach for the yellow knife""}, {""segment_index"": 1, ""start_frame"": 10, ""end_frame"": 14, ""subtask"": ""grasp the yellow knife""}, {""segment_index"": 2, ""start_frame"": 15, ""end_frame"": 16, ""subtask"": ""lift the yellow knife""}, {""segment_index"": 3, ""start_frame"": 17, ""end_frame"": 26, ""subtask"": ""move the yellow knife above the orange pot""}, {""segment_index"": 4, ""start_frame"": 27, ""end_frame"": 31, ""subtask"": ""release the yellow knife into the orange pot""}, {""segment_index"": 5, ""start_frame"": 32, ""end_frame"": 37, ""subtask"": ""move away from the orange pot""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-026/observation.images.image_0/episode_026886.mp4,20260753,False,,,,,,,,,,,,,,,
17556,17771,icra,take the pink cup from the silver pot and put it in the left side,52,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 17, ""subtask"": ""Reach for the Pink Cup in the Silver Pot""}, {""segment_index"": 1, ""start_frame"": 18, ""end_frame"": 24, ""subtask"": ""Grasp the Pink Cup""}, {""segment_index"": 2, ""start_frame"": 25, ""end_frame"": 27, ""subtask"": ""Lift the Pink Cup""}, {""segment_index"": 3, ""start_frame"": 28, ""end_frame"": 35, ""subtask"": ""Move the Pink Cup to the Left Side""}, {""segment_index"": 4, ""start_frame"": 36, ""end_frame"": 42, ""subtask"": ""Release the Pink Cup""}, {""segment_index"": 5, ""start_frame"": 43, ""end_frame"": 51, ""subtask"": ""Final Adjustments""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-017/observation.images.image_0/episode_017556.mp4,20260753,False,,,,,,,,,,,,,,,
40653,40712,icra,move the silver pot into the bottom side,56,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 18, ""subtask"": ""Reach for the Silver Pot""}, {""segment_index"": 1, ""start_frame"": 19, ""end_frame"": 24, ""subtask"": ""Grasp the Silver Pot""}, {""segment_index"": 2, ""start_frame"": 25, ""end_frame"": 41, ""subtask"": ""Lift and Move the Silver Pot Towards the Bottom Side""}, {""segment_index"": 3, ""start_frame"": 42, ""end_frame"": 44, ""subtask"": ""Release the Silver Pot into the Bottom Side""}, {""segment_index"": 4, ""start_frame"": 45, ""end_frame"": 48, ""subtask"": ""Retract Arm""}, {""segment_index"": 5, ""start_frame"": 49, ""end_frame"": 55, ""subtask"": ""Adjust Silver Pot Placement""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-040/observation.images.image_0/episode_040653.mp4,20260753,False,,,,,,,,,,,,,,,
45720,45720,icra,moved the can sideward,39,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 4, ""subtask"": ""Position arm near the can""}, {""segment_index"": 1, ""start_frame"": 5, ""end_frame"": 15, ""subtask"": ""Grasp the can""}, {""segment_index"": 2, ""start_frame"": 16, ""end_frame"": 22, ""subtask"": ""Lift and begin sideward movement of the can""}, {""segment_index"": 3, ""start_frame"": 23, ""end_frame"": 32, ""subtask"": ""Place can""}, {""segment_index"": 4, ""start_frame"": 33, ""end_frame"": 38, ""subtask"": ""Return arm to starting position""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-045/observation.images.image_0/episode_045720.mp4,20260753,False,,,,,,,,,,,,,,,
4993,4993,rss,Move the cupcake and drop into the bowl,29,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 8, ""subtask"": ""Reach for the cupcake""}, {""segment_index"": 1, ""start_frame"": 9, ""end_frame"": 12, ""subtask"": ""Grasp the cupcake""}, {""segment_index"": 2, ""start_frame"": 13, ""end_frame"": 15, ""subtask"": ""Lift the cupcake""}, {""segment_index"": 3, ""start_frame"": 16, ""end_frame"": 17, ""subtask"": ""Move above the bowl""}, {""segment_index"": 4, ""start_frame"": 18, ""end_frame"": 22, ""subtask"": ""Release the cupcake into the bowl""}, {""segment_index"": 5, ""start_frame"": 23, ""end_frame"": 28, ""subtask"": ""Move away""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-004/observation.images.image_0/episode_004993.mp4,20260753,True,,,,,,,,,,,,,,,
6950,6782,rss,move blue spoon to lower right corner,45,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 7, ""subtask"": ""Reach for the blue spoon""}, {""segment_index"": 1, ""start_frame"": 8, ""end_frame"": 14, ""subtask"": ""Grasp the blue spoon""}, {""segment_index"": 2, ""start_frame"": 15, ""end_frame"": 18, ""subtask"": ""Lift the blue spoon""}, {""segment_index"": 3, ""start_frame"": 19, ""end_frame"": 34, ""subtask"": ""Move the blue spoon to the lower right corner""}, {""segment_index"": 4, ""start_frame"": 35, ""end_frame"": 39, ""subtask"": ""Release the blue spoon""}, {""segment_index"": 5, ""start_frame"": 40, ""end_frame"": 44, ""subtask"": ""Move away from the blue spoon""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-006/observation.images.image_0/episode_006950.mp4,20260753,True,,,,,,,,,,,,,,,
18569,18365,rss,moved the white object to the lower left side,35,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 9, ""subtask"": ""Approach the white object""}, {""segment_index"": 1, ""start_frame"": 10, ""end_frame"": 15, ""subtask"": ""Grasp the white object""}, {""segment_index"": 2, ""start_frame"": 16, ""end_frame"": 19, ""subtask"": ""Lift the white object""}, {""segment_index"": 3, ""start_frame"": 20, ""end_frame"": 25, ""subtask"": ""Move the white object backward and left""}, {""segment_index"": 4, ""start_frame"": 26, ""end_frame"": 30, ""subtask"": ""Place and release the white object""}, {""segment_index"": 5, ""start_frame"": 31, ""end_frame"": 34, ""subtask"": ""Retract and final stop""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-018/observation.images.image_0/episode_018569.mp4,20260753,True,,,,,,,,,,,,,,,
17036,17120,rss,Move the meant to on top of the yellow cloth,46,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 16, ""subtask"": ""Reach for the meant""}, {""segment_index"": 1, ""start_frame"": 17, ""end_frame"": 21, ""subtask"": ""Grasp the meant""}, {""segment_index"": 2, ""start_frame"": 22, ""end_frame"": 27, ""subtask"": ""Lift the meant""}, {""segment_index"": 3, ""start_frame"": 28, ""end_frame"": 36, ""subtask"": ""Move the meant above the yellow cloth""}, {""segment_index"": 4, ""start_frame"": 37, ""end_frame"": 41, ""subtask"": ""Release the meant on the yellow cloth""}, {""segment_index"": 5, ""start_frame"": 42, ""end_frame"": 45, ""subtask"": ""Move away""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-017/observation.images.image_0/episode_017036.mp4,20260753,False,,,,,,,,,,,,,,,
44204,44527,rss,Place the spoon above the napkin.,28,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 9, ""subtask"": ""Reach for the spoon""}, {""segment_index"": 1, ""start_frame"": 10, ""end_frame"": 13, ""subtask"": ""Grasp the spoon""}, {""segment_index"": 2, ""start_frame"": 14, ""end_frame"": 19, ""subtask"": ""Move the spoon above the napkin""}, {""segment_index"": 3, ""start_frame"": 20, ""end_frame"": 23, ""subtask"": ""Release the spoon above the napkin""}, {""segment_index"": 4, ""start_frame"": 24, ""end_frame"": 27, ""subtask"": ""Move away""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-044/observation.images.image_0/episode_044204.mp4,20260753,False,,,,,,,,,,,,,,,
25103,25462,rss,Move the pan to the left,43,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 6, ""subtask"": ""Reach for the pan""}, {""segment_index"": 1, ""start_frame"": 7, ""end_frame"": 13, ""subtask"": ""Grasp the pan""}, {""segment_index"": 2, ""start_frame"": 14, ""end_frame"": 17, ""subtask"": ""Lift the pan""}, {""segment_index"": 3, ""start_frame"": 18, ""end_frame"": 28, ""subtask"": ""Move the pan left""}, {""segment_index"": 4, ""start_frame"": 29, ""end_frame"": 34, ""subtask"": ""Release the pan""}, {""segment_index"": 5, ""start_frame"": 35, ""end_frame"": 42, ""subtask"": ""Move away from the pan""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-025/observation.images.image_0/episode_025103.mp4,20260753,False,,,,,,,,,,,,,,,
893,1001,rss,Move the blue fork to the right of the broccoli,44,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 15, ""subtask"": ""Reach for the blue fork""}, {""segment_index"": 1, ""start_frame"": 16, ""end_frame"": 21, ""subtask"": ""Grasp the blue fork""}, {""segment_index"": 2, ""start_frame"": 22, ""end_frame"": 23, ""subtask"": ""Lift the blue fork""}, {""segment_index"": 3, ""start_frame"": 24, ""end_frame"": 33, ""subtask"": ""Move the blue fork to the right of the broccoli""}, {""segment_index"": 4, ""start_frame"": 34, ""end_frame"": 36, ""subtask"": ""Release the blue fork""}, {""segment_index"": 5, ""start_frame"": 37, ""end_frame"": 43, ""subtask"": ""Move away from the blue fork and broccoli""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-000/observation.images.image_0/episode_000893.mp4,20260753,False,,,,,,,,,,,,,,,
11203,11250,rss,Move the strawberry and place into bowl,31,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 8, ""subtask"": ""Reach for the strawberry""}, {""segment_index"": 1, ""start_frame"": 9, ""end_frame"": 11, ""subtask"": ""Grasp the strawberry""}, {""segment_index"": 2, ""start_frame"": 12, ""end_frame"": 18, ""subtask"": ""Lift the strawberry""}, {""segment_index"": 3, ""start_frame"": 19, ""end_frame"": 21, ""subtask"": ""Release the strawberry into the bowl""}, {""segment_index"": 4, ""start_frame"": 22, ""end_frame"": 23, ""subtask"": ""Move away from the bowl""}, {""segment_index"": 5, ""start_frame"": 24, ""end_frame"": 30, ""subtask"": ""Stop""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-011/observation.images.image_0/episode_011203.mp4,20260753,False,,,,,,,,,,,,,,,
7149,7448,rss,put the green towel  in the pot on the left burner,23,"[{""segment_index"": 0, ""start_frame"": 0, ""end_frame"": 11, ""subtask"": ""Reach for the green towel""}, {""segment_index"": 1, ""start_frame"": 12, ""end_frame"": 17, ""subtask"": ""Grasp the green towel""}, {""segment_index"": 2, ""start_frame"": 18, ""end_frame"": 22, ""subtask"": ""Lift the green towel""}]",https://huggingface.co/datasets/IPEC-COMMUNITY/bridge_orig_lerobot/resolve/0e9d76d07e9df3ea3eba257b2520d4913833fad2/videos/chunk-007/observation.images.image_0/episode_007149.mp4,20260753,False,,,,,,,,,,,,,,,
