pool_id,steering_trajectory_id,source_collection,canonical_task,canonical_subtask,slot_index,command,automatic_class,rule_reason,secondary_review_required,primary_manual_class,primary_same_intent_with_canonical,primary_reviewer,primary_review_notes,secondary_manual_class,secondary_same_intent_with_canonical,secondary_reviewer,secondary_review_notes,adjudicated_class,adjudicated_same_intent_with_canonical,adjudicator,adjudication_notes
pool_2812f7e11853bc0c,18258,bridge_data_v1,put big spoon from basket to tray,Move Big Spoon Towards Tray,4,"Move the spoon at [16, 125] toward the tray at [182, 184].",multi_point_gripper_trace,two_or_more_coordinate_pairs,False,,,,,,,,,,,,
pool_2812f7e11853bc0c,18258,bridge_data_v1,put big spoon from basket to tray,Move Big Spoon Towards Tray,5,"Move the gripper along [98, 67], [49, 104], [98, 76], [106, 52] towards the tray.",multi_point_gripper_trace,two_or_more_coordinate_pairs,False,,,,,,,,,,,,
pool_2812f7e11853bc0c,18258,bridge_data_v1,put big spoon from basket to tray,Move Big Spoon Towards Tray,6,Tilt down and rotate counterclockwise while moving to tray.,hybrid_or_added_behavioral_semantics,sequencing_marker_or_additional_action_family,False,,,,,,,,,,,,
pool_2812f7e11853bc0c,18258,bridge_data_v1,put big spoon from basket to tray,Move Big Spoon Towards Tray,7,Move the big spoon towards the tray.,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_31ef26e6ab75ee9c,21699,bridge_data_v1,take spatula off plate sink,Move towards the spatula on the plate,0,"Move towards the spatula at [132, 116].",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_31ef26e6ab75ee9c,21699,bridge_data_v1,take spatula off plate sink,Move towards the spatula on the plate,1,"Move down to the spatula at [132, 119].",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_31ef26e6ab75ee9c,21699,bridge_data_v1,take spatula off plate sink,Move towards the spatula on the plate,2,"Approach the spatula at [132, 116] on the plate at [131, 124].",multi_point_gripper_trace,two_or_more_coordinate_pairs,False,,,,,,,,,,,,
pool_31ef26e6ab75ee9c,21699,bridge_data_v1,take spatula off plate sink,Move towards the spatula on the plate,3,Approach the spatula on the plate.,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_31ef26e6ab75ee9c,21699,bridge_data_v1,take spatula off plate sink,Move towards the spatula on the plate,4,"Move the gripper to <118, 100>.",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_31ef26e6ab75ee9c,21699,bridge_data_v1,take spatula off plate sink,Move towards the spatula on the plate,5,"Move the gripper along <82, 68>, <87, 80>, <115, 95>, <118, 100>.",multi_point_gripper_trace,two_or_more_coordinate_pairs,False,,,,,,,,,,,,
pool_31ef26e6ab75ee9c,21699,bridge_data_v1,take spatula off plate sink,Move towards the spatula on the plate,6,Move towards the spatula on the plate,subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,False,,,,,,,,,,,,
pool_31ef26e6ab75ee9c,21699,bridge_data_v1,take spatula off plate sink,Move towards the spatula on the plate,7,take spatula off plate sink,task_level_language,shared_trajectory_task_exact_normalized_match,False,,,,,,,,,,,,
pool_31ef26e6ab75ee9c,21699,bridge_data_v1,take spatula off plate sink,Move towards the spatula on the plate,8,"Move towards the spatula on the plate, ending at <118, 100>.",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_31ef26e6ab75ee9c,21699,bridge_data_v1,take spatula off plate sink,Move towards the spatula on the plate,9,Move towards the spatula.,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_0265f1bb53a841ad,48093,bridge_data_v1,put cup from counter to sink,Release the cup into the sink,0,Release the cup into the sink,subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,False,,,,,,,,,,,,
pool_0265f1bb53a841ad,48093,bridge_data_v1,put cup from counter to sink,Release the cup into the sink,1,"Open the gripper at [119, 137], [122, 143], [123, 135]",multi_point_gripper_trace,two_or_more_coordinate_pairs,False,,,,,,,,,,,,
pool_0265f1bb53a841ad,48093,bridge_data_v1,put cup from counter to sink,Release the cup into the sink,2,"Open gripper at [122, 143]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_0265f1bb53a841ad,48093,bridge_data_v1,put cup from counter to sink,Release the cup into the sink,3,put cup from counter to sink,task_level_language,shared_trajectory_task_exact_normalized_match,False,,,,,,,,,,,,
pool_0265f1bb53a841ad,48093,bridge_data_v1,put cup from counter to sink,Release the cup into the sink,4,"Open gripper at [119, 137]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_0265f1bb53a841ad,48093,bridge_data_v1,put cup from counter to sink,Release the cup into the sink,5,Open the gripper to release the cup,hybrid_or_added_behavioral_semantics,sequencing_marker_or_additional_action_family,False,,,,,,,,,,,,
pool_813581324e3a1dac,40467,bridge_data_v1,put can in pot,Release the can into the pot,0,Drop the can,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_813581324e3a1dac,40467,bridge_data_v1,put can in pot,Release the can into the pot,1,Open the gripper to release the can,hybrid_or_added_behavioral_semantics,sequencing_marker_or_additional_action_family,False,,,,,,,,,,,,
pool_813581324e3a1dac,40467,bridge_data_v1,put can in pot,Release the can into the pot,2,Release the can,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_813581324e3a1dac,40467,bridge_data_v1,put can in pot,Release the can into the pot,3,"Release the can into the pot at [113, 80]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_813581324e3a1dac,40467,bridge_data_v1,put can in pot,Release the can into the pot,4,"Open the gripper above [112, 77]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_813581324e3a1dac,40467,bridge_data_v1,put can in pot,Release the can into the pot,5,"Move to [81, 211], [104, 24] and drop can",hybrid_or_added_behavioral_semantics,coordinate_plus_terminal_action_direction_or_sequence,False,,,,,,,,,,,,
pool_813581324e3a1dac,40467,bridge_data_v1,put can in pot,Release the can into the pot,6,Release the can into the pot,subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,False,,,,,,,,,,,,
pool_813581324e3a1dac,40467,bridge_data_v1,put can in pot,Release the can into the pot,7,put can in pot,task_level_language,shared_trajectory_task_exact_normalized_match,False,,,,,,,,,,,,
pool_e8203e21fea66e05,34631,bridge_data_v1,open fridge,Fine Adjustment,0,Make fine adjustments to the position,malformed_or_unclear,semantic_class_unclear_requires_manual_review,True,,,,,,,,,,,,
pool_e8203e21fea66e05,34631,bridge_data_v1,open fridge,Fine Adjustment,1,"Move left and backward left to adjust near the fridge handle at [117, 132]",point_coordinate_grounding,one_coordinate_pair,True,,,,,,,,,,,,
pool_e8203e21fea66e05,34631,bridge_data_v1,open fridge,Fine Adjustment,2,Make fine adjustments to the position before opening,hybrid_or_added_behavioral_semantics,sequencing_marker_or_additional_action_family,True,,,,,,,,,,,,
pool_e8203e21fea66e05,34631,bridge_data_v1,open fridge,Fine Adjustment,3,open fridge,task_level_language,shared_trajectory_task_exact_normalized_match,True,,,,,,,,,,,,
pool_e8203e21fea66e05,34631,bridge_data_v1,open fridge,Fine Adjustment,4,"Move backward left to adjust at [164, 147]",point_coordinate_grounding,one_coordinate_pair,True,,,,,,,,,,,,
pool_e8203e21fea66e05,34631,bridge_data_v1,open fridge,Fine Adjustment,5,"Adjust position by moving to [194, 171], [164, 147], [74, 138], [59, 108]",multi_point_gripper_trace,two_or_more_coordinate_pairs,True,,,,,,,,,,,,
pool_e8203e21fea66e05,34631,bridge_data_v1,open fridge,Fine Adjustment,6,Fine Adjustment,subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,True,,,,,,,,,,,,
pool_e77fa4d94561ebfc,43415,bridge_data_v1,put pear in bowl,grasp the pear,0,move down and close the gripper,atomic_motion_or_gripper_command,high_precision_atomic_pattern,False,,,,,,,,,,,,
pool_e77fa4d94561ebfc,43415,bridge_data_v1,put pear in bowl,grasp the pear,1,"close the gripper multiple times at approximately [156, 98]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_e77fa4d94561ebfc,43415,bridge_data_v1,put pear in bowl,grasp the pear,2,"close gripper at position near pear at [166, 116]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_e77fa4d94561ebfc,43415,bridge_data_v1,put pear in bowl,grasp the pear,3,close gripper on the pear,hybrid_or_added_behavioral_semantics,sequencing_marker_or_additional_action_family,False,,,,,,,,,,,,
pool_e77fa4d94561ebfc,43415,bridge_data_v1,put pear in bowl,grasp the pear,4,put pear in bowl,task_level_language,shared_trajectory_task_exact_normalized_match,False,,,,,,,,,,,,
pool_e77fa4d94561ebfc,43415,bridge_data_v1,put pear in bowl,grasp the pear,5,"close gripper at [154, 94]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_e77fa4d94561ebfc,43415,bridge_data_v1,put pear in bowl,grasp the pear,6,grasp the pear,subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,False,,,,,,,,,,,,
pool_9c8362335f3eb68d,37181,bridge_data_v1,open microwave,Pull microwave door open (initial pull),0,Pull microwave door open (initial pull),subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,False,,,,,,,,,,,,
pool_9c8362335f3eb68d,37181,bridge_data_v1,open microwave,Pull microwave door open (initial pull),1,"Move backward from [139, 55] to begin opening the microwave",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_9c8362335f3eb68d,37181,bridge_data_v1,open microwave,Pull microwave door open (initial pull),2,"Move backward while grasping the microwave at [142, 13]",hybrid_or_added_behavioral_semantics,coordinate_plus_terminal_action_direction_or_sequence,False,,,,,,,,,,,,
pool_9c8362335f3eb68d,37181,bridge_data_v1,open microwave,Pull microwave door open (initial pull),3,Pull the microwave handle backward,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_9c8362335f3eb68d,37181,bridge_data_v1,open microwave,Pull microwave door open (initial pull),4,Move backward while holding the handle,hybrid_or_added_behavioral_semantics,sequencing_marker_or_additional_action_family,False,,,,,,,,,,,,
pool_9c8362335f3eb68d,37181,bridge_data_v1,open microwave,Pull microwave door open (initial pull),5,open microwave,task_level_language,shared_trajectory_task_exact_normalized_match,False,,,,,,,,,,,,
pool_9c8362335f3eb68d,37181,bridge_data_v1,open microwave,Pull microwave door open (initial pull),6,Pull the microwave door open slightly,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_9c8362335f3eb68d,37181,bridge_data_v1,open microwave,Pull microwave door open (initial pull),7,Move backward while closing the gripper,hybrid_or_added_behavioral_semantics,sequencing_marker_or_additional_action_family,False,,,,,,,,,,,,
pool_9c8362335f3eb68d,37181,bridge_data_v1,open microwave,Pull microwave door open (initial pull),8,"Pull the handle at [142, 13]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_7d21e286528901bf,52277,bridge_data_v1,flip pot upright which is in sink,Move Towards Pot,0,Tilt down to approach the pot,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_7d21e286528901bf,52277,bridge_data_v1,flip pot upright which is in sink,Move Towards Pot,1,flip pot upright which is in sink,task_level_language,shared_trajectory_task_exact_normalized_match,False,,,,,,,,,,,,
pool_7d21e286528901bf,52277,bridge_data_v1,flip pot upright which is in sink,Move Towards Pot,2,"Move towards the pot in the sink at [80, 60]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_7d21e286528901bf,52277,bridge_data_v1,flip pot upright which is in sink,Move Towards Pot,3,Move Towards Pot,subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,False,,,,,,,,,,,,
pool_7d21e286528901bf,52277,bridge_data_v1,flip pot upright which is in sink,Move Towards Pot,4,"Move towards the pot at [150, 101]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_7d21e286528901bf,52277,bridge_data_v1,flip pot upright which is in sink,Move Towards Pot,5,"Move to [153, 23], [121, 24], [122, 26], [117, 28]",multi_point_gripper_trace,two_or_more_coordinate_pairs,False,,,,,,,,,,,,
pool_7d21e286528901bf,52277,bridge_data_v1,flip pot upright which is in sink,Move Towards Pot,6,Move towards the pot,subtask_same_intent_paraphrase_candidate,matching_action_family_and_no_added_entities,False,,,,,,,,,,,,
pool_a43d62da64205ca3,592,bridge_data_v1,turn lever vertical to front,Regrasp the lever,0,"Close gripper at [194, 28] to re-grasp",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_a43d62da64205ca3,592,bridge_data_v1,turn lever vertical to front,Regrasp the lever,1,Close the gripper,atomic_motion_or_gripper_command,high_precision_atomic_pattern,False,,,,,,,,,,,,
pool_a43d62da64205ca3,592,bridge_data_v1,turn lever vertical to front,Regrasp the lever,2,"Close the gripper to re-secure lever at [100, 227]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_a43d62da64205ca3,592,bridge_data_v1,turn lever vertical to front,Regrasp the lever,3,Adjust grip on the lever,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_a43d62da64205ca3,592,bridge_data_v1,turn lever vertical to front,Regrasp the lever,4,"Regrasp lever at [100, 227]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_a43d62da64205ca3,592,bridge_data_v1,turn lever vertical to front,Regrasp the lever,5,"Re-secure the lever with gripper at [194, 28]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_a43d62da64205ca3,592,bridge_data_v1,turn lever vertical to front,Regrasp the lever,6,turn lever vertical to front,task_level_language,shared_trajectory_task_exact_normalized_match,False,,,,,,,,,,,,
pool_a43d62da64205ca3,592,bridge_data_v1,turn lever vertical to front,Regrasp the lever,7,Regrasp the lever,subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,False,,,,,,,,,,,,
pool_dd62444ec159e97b,17440,bridge_data_v1,take sushi out of pan,Grasp the sushi,0,"Close gripper at [76, 121]",point_coordinate_grounding,one_coordinate_pair,True,,,,,,,,,,,,
pool_dd62444ec159e97b,17440,bridge_data_v1,take sushi out of pan,Grasp the sushi,1,Grasp the sushi,subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,True,,,,,,,,,,,,
pool_dd62444ec159e97b,17440,bridge_data_v1,take sushi out of pan,Grasp the sushi,2,Close the gripper,atomic_motion_or_gripper_command,high_precision_atomic_pattern,True,,,,,,,,,,,,
pool_dd62444ec159e97b,17440,bridge_data_v1,take sushi out of pan,Grasp the sushi,3,"Close the gripper near the sushi at [69, 139]",point_coordinate_grounding,one_coordinate_pair,True,,,,,,,,,,,,
pool_dd62444ec159e97b,17440,bridge_data_v1,take sushi out of pan,Grasp the sushi,4,take sushi out of pan,task_level_language,shared_trajectory_task_exact_normalized_match,True,,,,,,,,,,,,
pool_dd62444ec159e97b,17440,bridge_data_v1,take sushi out of pan,Grasp the sushi,5,"Close gripper at [66, 110]",point_coordinate_grounding,one_coordinate_pair,True,,,,,,,,,,,,
pool_dd62444ec159e97b,17440,bridge_data_v1,take sushi out of pan,Grasp the sushi,6,Close the gripper on the sushi,hybrid_or_added_behavioral_semantics,sequencing_marker_or_additional_action_family,True,,,,,,,,,,,,
pool_dd62444ec159e97b,17440,bridge_data_v1,take sushi out of pan,Grasp the sushi,7,"Close the gripper near the pan at [74, 141]",point_coordinate_grounding,one_coordinate_pair,True,,,,,,,,,,,,
pool_5a3fc495a09aeaf2,16849,bridge_data_v1,pick up box cutter and put into drawer,Lift the box cutter,0,Lift the box cutter.,subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,False,,,,,,,,,,,,
pool_5a3fc495a09aeaf2,16849,bridge_data_v1,pick up box cutter and put into drawer,Lift the box cutter,1,"Lift box cutter from [148, 141] to [147, 156].",multi_point_gripper_trace,two_or_more_coordinate_pairs,False,,,,,,,,,,,,
pool_5a3fc495a09aeaf2,16849,bridge_data_v1,pick up box cutter and put into drawer,Lift the box cutter,2,Move left up while closing gripper.,hybrid_or_added_behavioral_semantics,sequencing_marker_or_additional_action_family,False,,,,,,,,,,,,
pool_5a3fc495a09aeaf2,16849,bridge_data_v1,pick up box cutter and put into drawer,Lift the box cutter,3,Move left and up.,atomic_motion_or_gripper_command,high_precision_atomic_pattern,False,,,,,,,,,,,,
pool_5a3fc495a09aeaf2,16849,bridge_data_v1,pick up box cutter and put into drawer,Lift the box cutter,4,Lift the box cutter,subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,False,,,,,,,,,,,,
pool_5a3fc495a09aeaf2,16849,bridge_data_v1,pick up box cutter and put into drawer,Lift the box cutter,5,pick up box cutter and put into drawer,task_level_language,shared_trajectory_task_exact_normalized_match,False,,,,,,,,,,,,
pool_5a3fc495a09aeaf2,16849,bridge_data_v1,pick up box cutter and put into drawer,Lift the box cutter,6,Move up with the box cutter.,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_fdb2255d7472f975,7174,bridge_data_v1,flip pot upright in sink,Release pot in sink,0,Release pot in sink,subtask_same_intent_paraphrase_candidate,canonical_subtask_exact_normalized_match,False,,,,,,,,,,,,
pool_fdb2255d7472f975,7174,bridge_data_v1,flip pot upright in sink,Release pot in sink,1,"Open the gripper at [137, 151] to release the pot",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_fdb2255d7472f975,7174,bridge_data_v1,flip pot upright in sink,Release pot in sink,2,"Release the pot at [62, 108] by opening the gripper",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_fdb2255d7472f975,7174,bridge_data_v1,flip pot upright in sink,Release pot in sink,3,"Open the gripper to release the pot at [62, 108]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_fdb2255d7472f975,7174,bridge_data_v1,flip pot upright in sink,Release pot in sink,4,Release the pot,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_fdb2255d7472f975,7174,bridge_data_v1,flip pot upright in sink,Release pot in sink,5,flip pot upright in sink,task_level_language,shared_trajectory_task_exact_normalized_match,False,,,,,,,,,,,,
pool_fdb2255d7472f975,7174,bridge_data_v1,flip pot upright in sink,Release pot in sink,6,Open the gripper,atomic_motion_or_gripper_command,high_precision_atomic_pattern,False,,,,,,,,,,,,
pool_fdb2255d7472f975,7174,bridge_data_v1,flip pot upright in sink,Release pot in sink,7,"Open the gripper at [150, 155]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_fdb2255d7472f975,7174,bridge_data_v1,flip pot upright in sink,Release pot in sink,8,"Open the gripper at [150, 155], [147, 156], [152, 154], [137, 151], and [137, 151]",multi_point_gripper_trace,two_or_more_coordinate_pairs,False,,,,,,,,,,,,
pool_2ed6298412f0f698,18819,bridge_data_v1,take cup off plate,reach for the cup on the plate,0,move the gripper toward the cup on the plate,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
pool_2ed6298412f0f698,18819,bridge_data_v1,take cup off plate,reach for the cup on the plate,1,take cup off plate,task_level_language,shared_trajectory_task_exact_normalized_match,False,,,,,,,,,,,,
pool_2ed6298412f0f698,18819,bridge_data_v1,take cup off plate,reach for the cup on the plate,2,"reach for the cup at [86, 65]",point_coordinate_grounding,one_coordinate_pair,False,,,,,,,,,,,,
pool_2ed6298412f0f698,18819,bridge_data_v1,take cup off plate,reach for the cup on the plate,3,"move toward the plate at [90, 80] to grab the cup",hybrid_or_added_behavioral_semantics,coordinate_plus_terminal_action_direction_or_sequence,False,,,,,,,,,,,,
pool_2ed6298412f0f698,18819,bridge_data_v1,take cup off plate,reach for the cup on the plate,4,"move to [52, 45], [51, 42], [53, 46], [55, 49], [62, 52] to reach the cup",multi_point_gripper_trace,two_or_more_coordinate_pairs,False,,,,,,,,,,,,
pool_2ed6298412f0f698,18819,bridge_data_v1,take cup off plate,reach for the cup on the plate,5,move the gripper to the cup,malformed_or_unclear,semantic_class_unclear_requires_manual_review,False,,,,,,,,,,,,
